"Province","Rural.Urban","Education.Level.or.Type","Labour.Group","Gender","Indicators","Description","Value","Age"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",100,"All ages"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Percentage of Literate Population (5 years & above)",46.7,"5 years & above"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.3,"All ages"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",46.4,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.94,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",7.68,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",14.09,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",8.39,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",7.89,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",3.85,"5 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",3.56,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",100,"10 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",40.02,"10 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Percentage of Literate Population (10 years & above)",59.98,"10 years & above"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.37,"10 years & above"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",59.61,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.07,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",6.34,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",19.84,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",11.82,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",11.11,"10 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",5.42,"10 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",5.01,"10 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",100,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",45.81,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Percentage of Literate Population (5 years & above)",54.19,"5 years & above"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.35,"5 years & above"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",53.84,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.09,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",8.91,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",16.35,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",9.74,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",9.16,"5 years & above"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",4.47,"5 years & above"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",4.13,"5 years & above"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",17.59,"5-9 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",12.83,"5-9 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",4.75,"5-9 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.04,"5-9 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",4.71,"5-9 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.03,"5-9 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",3.68,"5-9 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",14.77,"10-14 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",3.57,"10-14 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",11.2,"10-14 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.02,"10-14 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",11.18,"10-14 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.01,"10-14 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",3.96,"10-14 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",6.37,"10-14 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.84,"10-14 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",12.94,"15-19 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",3.27,"15-19 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",9.67,"15-19 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.02,"15-19 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",9.65,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.01,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.31,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",2.55,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",3.57,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",2.5,"15-19 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.7,"15-19 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Household Population","Percentage of Total Household Population",10.43,"20-24 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Illiterate Population","Illiterate Population by Age Group",3.36,"20-24 years"
"Country-Wide","Urban & Rural","Not Available","Unknown","Male & Female","Literacy Rate","Literacy Rate by Age Group",7.08,"20-24 years"
"Country-Wide","Urban & Rural","Non-formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.03,"20-24 years"
"Country-Wide","Urban & Rural","Formal","Unknown","Male & Female","Education Attainment","Education level by Age Group",7.05,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Pre-Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.01,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Primary","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.2,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Middle","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.56,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.25,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Higher Secondary","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.68,"20-24 years"
"Country-Wide","Urban & Rural","Incomplete Degree","Unknown","Male & Female","Education Attainment","Education level by Age Group",1.45,"20-24 years"
"Country-Wide","Urban & Rural","Undergraduate; Graduate & Postgraduate","Unknown","Male & Female","Education Attainment","Education level by Age Group",0.9,"20-24 years"
