"Seat","City","Province","WinParty","WinVotes","RunParty","RunVotes","Df","Margin","Percent","RunPercent","RunMargin"
7,"Charsadda","KPK","JUI-F",53610,"PTI",40254,13356,0.331793113727828,33.1793113727828,"<50%","<33K"
9,"Mardan","KPK","ANP",44769,"PTI",42068,2701,0.0642055719311591,6.42055719311591,"<25%","<33K"
18,"Abbottabad","KPK","PML-N",69532,"PTI",41061,28471,0.693383015513504,69.3383015513504,"<75%","<33K"
19,"Haripur","KPK","PML-N",117589,"PTI",117045,544,0.0046477850399419,0.46477850399419,"<25%","<33K"
20,"Mansehra","KPK","PML-N",105432,"PTI",73860,31572,0.427457351746548,42.7457351746548,"<50%","<33K"
25,"D.I.Khan / Tank","KPK","JUI-F",76837,"PTI",47175,29662,0.628765235824059,62.8765235824059,"<75%","<33K"
28,"Buner","KPK","JI",28264,"PTI",23234,5030,0.216493070500129,21.6493070500129,"<25%","<33K"
32,"Chitral","KPK","APML",29772,"PTI",24182,5590,0.231163675461087,23.1163675461087,"<25%","<33K"
34,"Lower Dir","KPK","JI",46968,"PTI",45503,1465,0.0321956794057535,3.21956794057535,"<25%","<33K"
46,"Tribal Area","FATA","Independent",4135,"PTI",3579,556,0.155350656607991,15.5350656607991,"<25%","<33K"
49,"Islamabad","Federal Capital","PML-N",95701,"PTI",57160,38541,0.67426522043387,67.426522043387,"<75%","<66K"
50,"Rawalpindi 2013 ","Punjab","PML-N",133906,"PTI",46810,87096,1.86062807092502,186.062807092502,">100%","<99K"
52,"Rawalpindi","Punjab","PML-N",132905,"PTI",69539,63366,0.911229669681761,91.1229669681761,"<100%","<66K"
54,"Rawalpindi","Punjab","PML-N",76255,"PTI",68473,7782,0.113650636017116,11.3650636017116,"<25%","<33K"
57,"Attock","Punjab","PML-N",59638,"PTI",55515,4123,0.0742682157975322,7.42682157975322,"<25%","<33K"
58,"Attock","Punjab","PML-N",84722,"PTI",73935,10787,0.145898424291607,14.5898424291607,"<25%","<33K"
62,"Jhelum","Punjab","PML-N",102022,"PTI",62572,39450,0.630473694304162,63.0473694304162,"<75%","<66K"
63,"Jhelum","Punjab","PML-N",116013,"PTI",42805,73208,1.71026749211541,171.026749211541,">100%","<99K"
66,"Sarghoda","Punjab","PML-N",132668,"PTI",36138,96530,2.67114948253916,267.114948253916,">100%","<99K"
68,"Sarghoda","Punjab","PML-N",140546,"PTI",45463,95083,2.09143699271935,209.143699271935,">100%","<99K"
69,"Khushab","Punjab","PML-N",118108,"PTI",79885,38223,0.478475308255617,47.8475308255617,"<50%","<66K"
75,"Faisalabad","Punjab","PML-N",129933,"PTI",49021,80912,1.65055792415495,165.055792415495,">100%","<99K"
82,"Faisalabad","Punjab","PML-N",126349,"PTI",36373,89976,2.47370302147197,247.370302147197,">100%","<99K"
83,"Faisalabad Bye","Punjab","PML-N",47107,"PTI",36966,10141,0.27433317102202,27.433317102202,"<50%","<33K"
84,"Faisalabad","Punjab","PML-N",103176,"PTI",42336,60840,1.43707482993197,143.707482993197,">100%","<66K"
85,"Faisalabad","Punjab","PML-N",124591,"PTI",55215,69376,1.25647016209363,125.647016209363,">100%","<99K"
93,"TT Singh ","Punjab","PML-N",117281,"PTI",95372,21909,0.229721511554754,22.9721511554754,"<25%","<33K"
95,"Gujranwala","Punjab","PML-N",108419,"PTI",27799,80620,2.90010432029929,290.010432029929,">100%","<99K"
96,"Gujranwala","Punjab","PML-N",105104,"PTI",29942,75162,2.5102531561018,251.02531561018,">100%","<99K"
97,"Gujranwala","Punjab","PML-N",104674,"PTI",30946,73728,2.38247269437084,238.247269437084,">100%","<99K"
107,"Gujrat IV","Punjab","PML-N",94083,"PTI",60962,33121,0.543305665824612,54.3305665824612,"<75%","<66K"
110,"Sialkot","Punjab","PML-N",92803,"PTI",71525,21278,0.297490387976232,29.7490387976232,"<50%","<33K"
112,"Sialkot","Punjab","PML-N",127437,"PTI",36632,90805,2.47884363398122,247.884363398122,">100%","<99K"
113,"Sialkot","Punjab","PML-N",117716,"PTI",52341,65375,1.24902084408017,124.902084408017,">100%","<66K"
117,"Narowal","Punjab","PML-N",94744,"PTI",51838,42906,0.827693969674756,82.7693969674756,"<100%","<66K"
118,"Lahore","Punjab","PML-N",103310,"PTI",43570,59740,1.37112692219417,137.112692219417,">100%","<66K"
119,"Lahore","Punjab","PML-N",107707,"PTI",40797,66910,1.64007157389024,164.007157389024,">100%","<99K"
120,"Lahore","Punjab","PML-N",91666,"PTI",52321,39345,0.75199250778846,75.199250778846,"<100%","<66K"
121,"Lahore","Punjab","PML-N",114421,"PTI",68227,46194,0.677063332698199,67.7063332698199,"<75%","<66K"
122,"Lahore","Punjab","PML-N",93362,"PTI",84417,8945,0.105962069251454,10.5962069251454,"<25%","<33K"
123,"Lahore","Punjab","PML-N",126877,"PTI",40617,86260,2.12374129059261,212.374129059261,">100%","<99K"
