"X1","X2","X3","rep(seat, nrow(table))","rep(city, nrow(table))","rep(year, nrow(table))"
"Haji Ghulam Ahmad Bilour","ANP","44210",1,"Peshawar",2008
"Ayub Shah","PPP","37682",1,"Peshawar",2008
"Haji Abdul Jalil Jan","MMA","4103",1,"Peshawar",2008
"SaifUllah","Independent","661",1,"Peshawar",2008
"Abdullah Jan","Independent","313",1,"Peshawar",2008
"Aurangzeb","Independent","261",1,"Peshawar",2008
"Jawad Aziz","AHTP","247",1,"Peshawar",2008
"Kakagi Muhammad Zahoor","PPP (S.B)","232",1,"Peshawar",2008
"Fakhri Alam Khan Paracha","Independent","184",1,"Peshawar",2008
"Ashoni Kumar","Independent","156",1,"Peshawar",2008
"Muhammad Zunbair Anjum","MQM","151",1,"Peshawar",2008
"Mian Sultan Mohammad","Independent","71",1,"Peshawar",2008
"Khawaja Yawar Naseer","Independent","54",1,"Peshawar",2008
"Dr. Arbab Alamgir Khan","PPP","34443",2,"Peshawar",2008
"Arbab Najeeb Ullah Khanh Khalil","ANP","23992",2,"Peshawar",2008
"Maulana Rehmat Ullah","MMA","7346",2,"Peshawar",2008
"Asif Ullah Qasmi","Independent","5326",2,"Peshawar",2008
"Syed Zahoor Shah","PML(N)","3103",2,"Peshawar",2008
"Malik Najab Gul Khalil Adv","PML","1560",2,"Peshawar",2008
"Dr. Taj Muhammad Khan","Independent","210",2,"Peshawar",2008
"Muhammad Atteq ur Rehman"," Independent","174",2,"Peshawar",2008
"Haji Aftab Muhammad","Independent","139",2,"Peshawar",2008
"Noor Alam Khan","PPP","27038",3,"Peshawar",2008
"Muhammad Hashim Babar","ANP","26201",3,"Peshawar",2008
"Aziz ud Din","MMA","17383",3,"Peshawar",2008
"Engineer Iqbal Zafar Jaghra","PML(N)","12096",3,"Peshawar",2008
"Muhammad Intikhab Khan","PML","5679",3,"Peshawar",2008
"Taimoor Khan","Independent","2071",3,"Peshawar",2008
"Arbab Roohullah Khan","Independent","342",3,"Peshawar",2008
"Ajmal Khan Afridi","Independent","85",3,"Peshawar",2008
"Arbab Muhammad Zahir Khan","ANP","31598",4,"Peshawar",2008
"Muhammad Azam Afridi","PPP","18702",4,"Peshawar",2008
"Ameer Maqam","PML","18583",4,"Peshawar",2008
"Maulana Nisar Khan","MMA","9452",4,"Peshawar",2008
"Arbab Muhammad Nawaz Khan","Independent","1000",4,"Peshawar",2008
"Syed Kamal Badshah","Independent","980",4,"Peshawar",2008
"Khalid Ikram","Independent","362",4,"Peshawar",2008
"Niaz Ullah"," Independent","129",4,"Peshawar",2008
"Eng:Muhammad Tariq Khattak","PPP","31907",5,"Nowshera",2008
"Tariq Hameed Khattak","ANP","29572",5,"Nowshera",2008
"Mian Yahya Shah Kaka Khel","PML","17397",5,"Nowshera",2008
"Mufti Muhammad Sajjad","MMA","9192",5,"Nowshera",2008
"Ishtiaq Ahmed Advocate","PML(N)","4229",5,"Nowshera",2008
"Sajid","Independent","1631",5,"Nowshera",2008
"Astaghfir Ullah Advocate","Independent","642",5,"Nowshera",2008
"Masood Abbas Khattak","ANP","36835",6,"Nowshera",2008
"Mian Jamshed-ud-Din","PPP(S)","27951",6,"Nowshera",2008
"Mian Muzaffar Shah","PPP","20358",6,"Nowshera",2008
"Asfandiyar Wali Khan","ANP","57234",7,"Charsadda",2008
"Naseer Mohammad Khan","PPP","17883",7,"Charsadda",2008
"Alamzaib Umerzai","PPP (S)","8882",7,"Charsadda",2008
"Kalim Akbar","PML (N)","3588",7,"Charsadda",2008
"Aftab Ahmad Khan Sherpao","PPP(S)","30626",8,"Charsadda",2008
"Bashir Khan Umerzai","ANP","29951",8,"Charsadda",2008
"Anwar ul Habib","MMA","12239",8,"Charsadda",2008
"Sajjad Ali","PML(N)","3940",8,"Charsadda",2008
"Syed Zakir Shah Bacha","Independent","1306",8,"Charsadda",2008
"Himayat Ullah Mayar","ANP","30770",9,"Mardan",2008
"Moulana Shuja ul Mulk","JUI (S)","24621",9,"Mardan",2008
"Muhammad Sarfraz Khan","Independent","519",9,"Mardan",2008
"Syed Umer alias Member","Independent","373",9,"Mardan",2008
"Zulqurnain","Independent","282",9,"Mardan",2008
"Muhammad Nawab alias Chona","Independent","193",9,"Mardan",2008
"Yasir Ali","Independent","111",9,"Mardan",2008
"Abid Khan","Independent","93",9,"Mardan",2008
"Asia Naz Awan","Independent","92",9,"Mardan",2008
"Maulana Mohammad Qasim","MMA","29279",10,"Mardan",2008
"Nawabzada Abdul Qadir Khan","PPP","23138",10,"Mardan",2008
"Mohammad Farooq Khan","ANP","21115",10,"Mardan",2008
"Naseem Mhammad Khan","PML","6774",10,"Mardan",2008
"Jalal Khan Khattak","PPP(S)","6012",10,"Mardan",2008
"Muhammad Shoaib Khan","PML(N)","3782",10,"Mardan",2008
"Atta Ullah","Independent","1898",10,"Mardan",2008
"Tahir Iqbal","AHT","1732",10,"Mardan",2008
"Zair Ullah Khan","MQM","201",10,"Mardan",2008
"Khanzada Khan","PPP","20896",11,"Mardan",2008
