"Name","Party","Votes","Seat","City","Year"
"Imran Khan","PTI","90434",1,"Peshawar",2013
"Alhaj GhulamhAhmad Bilour","ANP","24449",1,"Peshawar",2013
"MuhammadhZulfiqar Afghani","PPP-P","7116",1,"Peshawar",2013
"Shabir AhmadhKhan","JI","7034",1,"Peshawar",2013
"Hazrat Muhammadhalias Babo Maavia","MDM","4825",1,"Peshawar",2013
"Haji Shah Nawaz","JUI-F","4729",1,"Peshawar",2013
"Muhammad AfzalhKhan Panyala","PML-N","4230",1,"Peshawar",2013
"Jan Alam KhanhParacha","QWP","1964",1,"Peshawar",2013
"Amir Syed","PPP-SB","454",1,"Peshawar",2013
"Pir Abdur Rehman","Independent","265",1,"Peshawar",2013
"Akram Khan","Independent","182",1,"Peshawar",2013
"Bashir AhmadhAfridi","MQM","117",1,"Peshawar",2013
"Syed MuhammadhSibtain Taj Agha","JUP-N","100",1,"Peshawar",2013
"Aamir ShehzadhHashmi","MP","77",1,"Peshawar",2013
"Khalid TanveerhRohela Advocate","PML-J","70",1,"Peshawar",2013
"HidayatullahhKhan Afridi Advocate","Independent","61",1,"Peshawar",2013
"Tariq Saeed","PHRP","45",1,"Peshawar",2013
"Moeen ud Din","JUI-N","42",1,"Peshawar",2013
"Sajid Nawaz","PTI","67214",3,"Peshawar",2013
"Haji Ghulam Ali","JUI-F","27987",3,"Peshawar",2013
"Engineer IqbalZafar Jhagra","PMl-N","22370",3,"Peshawar",2013
"Noor Alam Khan","PPP-P","22045",3,"Peshawar",2013
"Israr UllahAdvocate","JI","11954",3,"Peshawar",2013
"Muhammad HashamBabar","Independent","6449",3,"Peshawar",2013
"Arbab Inam UllahKhan","ANP","5902",3,"Peshawar",2013
"Muhammad Zaman","QWP","2257",3,"Peshawar",2013
"Aman Ullah KhanKanriza","TTP","1965",3,"Peshawar",2013
"Sardar Ali","Independent","885",3,"Peshawar",2013
"Fiza Tariq","Independent","680",3,"Peshawar",2013
"Tabana","Independent","501",3,"Peshawar",2013
"Malik Javed Khan","MQM","489",3,"Peshawar",2013
"Doctor MalikShoukat Ali Khan","PML-Q","455",3,"Peshawar",2013
"Muhammad FayyazKhan","Independent","438",3,"Peshawar",2013
"Umar Said Khan","Independent","270",3,"Peshawar",2013
"Malik FirdosKhan","Independent","260",3,"Peshawar",2013
"Usman KhanTarrakai","AJIP","56148",12,"Swabi",2013
"Rehmanullah","ANP","35957",12,"Swabi",2013
"Ishfaq Ullah KhanDargai","JUI-F","21485",12,"Swabi",2013
"Anwar Haqdad","PTI","19557",12,"Swabi",2013
"Muhammad Israr","PML-N","7149",12,"Swabi",2013
"Ahmad MustafaKhan","PPP-P","4944",12,"Swabi",2013
"Mian Saleem Akbar","JI","2148",12,"Swabi",2013
"Shah Faisal Khan","Independent","850",12,"Swabi",2013
"Khalid Ibrar","APML","384",12,"Swabi",2013
"Amanullah","Independent","360",12,"Swabi",2013
"Abdul Hakam","MDM","329",12,"Swabi",2013
"Murad Ali","PKMAP","242",12,"Swabi",2013
"Shahid Ahmad","PJP","203",12,"Swabi",2013
"Khan Zada","AWP","152",12,"Swabi",2013
"Said MukhtiarAhmad Bacha","Independent","151",12,"Swabi",2013
"Asad Qaisar","PTI","48416",13,"Swabi",2013
"Moulana AttaulHaq Darwaish","JUI-F","28518",13,"Swabi",2013
"Iftikhar AhmedKhan","PML-N","21338",13,"Swabi",2013
"Shahram KhanTarkai","AJIP","14410",13,"Swabi",2013
"Muhammad SarwarKhan","ANP","14137",13,"Swabi",2013
"Mulana KhalilAhmed","JUI-N","7722",13,"Swabi",2013
"Muhammad Naeem","PPP-P","6818",13,"Swabi",2013
"Ameer NawazKhan","JI","4846",13,"Swabi",2013
"Shahab Advocate","TTP","4267",13,"Swabi",2013
"Shahid Khan","Independent","1164",13,"Swabi",2013
"Shamsul Qamar","Independent","1076",13,"Swabi",2013
"Muhammad Kaleem","Independent","585",13,"Swabi",2013
"Abdul RasheedYousafzai","PPM","454",13,"Swabi",2013
"Muhammad UsmanKhan","PKMAP","395",13,"Swabi",2013
"Inamullah","JPP","380",13,"Swabi",2013
"Muhammad Jamil","MDM","252",13,"Swabi",2013
"Said Anwar Shah","Independent","198",13,"Swabi",2013
"Hakeem Khan","AWP","110",13,"Swabi",2013
"ShehryarAfridi","PTI","61742",14,"Kohat",2013
"Gohar MohammadKhan Bungesh","JUI-F","31886",14,"Kohat",2013
"Shameem Afridi","Independent","19056",14,"Kohat",2013
"Malik Asad","PML-N","13670",14,"Kohat",2013
"Pir DilawarShah","PPP-P","9982",14,"Kohat",2013
"MaulanaUbaidullah Haidri","MDM","9192",14,"Kohat",2013
"Khursheed BegumSaeed","ANP","7192",14,"Kohat",2013
"Badshah Gul","Independent","4806",14,"Kohat",2013
"Pir MuhammadFaheem","JI","3556",14,"Kohat",2013
"Asif Iqbal","TTP","498",14,"Kohat",2013
"Doctor MuhammadIhsanullah","Independent","471",14,"Kohat",2013
"NajeebullahDurrani","QWP","414",14,"Kohat",2013
"Muhammad NawazKhan","PKMAP","312",14,"Kohat",2013
"Nazia Zulfiqar","Independent","254",14,"Kohat",2013
"Sher RehmanKhattak","Independent","151",14,"Kohat",2013
"Abdul QadeerKhan","MQM","130",14,"Kohat",2013
"Nasir KhanKhattak","PTI","51278",15,"Karak",2013
"Rehmat SalamKhattak","PML-N","29290",15,"Karak",2013
"Moulana ShahAbdul Aziz","MDM","29088",15,"Karak",2013
"Masood SharifKhan Khattak","Independent","15521",15,"Karak",2013
"Mufti MuhammadSardar","JUI-F","13215",15,"Karak",2013
"Muhammad SharifKhattak","ANP","7330",15,"Karak",2013
"MuhammadTasleem Iqbal","JI","5087",15,"Karak",2013
"Muhammad ShahJehan","PPP-P","2252",15,"Karak",2013
"Altaf Qadir","Independent","1130",15,"Karak",2013
"Muhammad UmerKhattak","Independent","1091",15,"Karak",2013
"Munir KhanKhattak","Independent","590",15,"Karak",2013
"Asif Noor","Independent","461",15,"Karak",2013
"Brigadier (R)Sakhi Marjan","Independent","409",15,"Karak",2013
"Rafi UllahKhatak","PKMAP","387",15,"Karak",2013
"Muhammad Sadiq","TTP","340",15,"Karak",2013
"Asad Ullah Shah","MQM","327",15,"Karak",2013
"Shahenshah","Independent","260",15,"Karak",2013
"Jamal Khan","Independent","99",15,"Karak",2013
