"Seat","City","Province","WinParty","WinVotes","RunParty","RunVotes","Df","Margin","Percent","WinPercent"
18,"Abbottabad","KPK","PML-N",69532,"PTI",41061,28471,0.693383015513504,69.3383015513504,"<75%"
19,"Haripur","KPK","PML-N",117589,"PTI",117045,544,0.0046477850399419,0.46477850399419,"<25%"
20,"Mansehra","KPK","PML-N",105432,"PTI",73860,31572,0.427457351746548,42.7457351746548,"<50%"
21,"Mansehra","KPK","PML-N",90408,"JUI-F",42980,47428,1.10348999534667,110.348999534667,">100%"
31,"Shangla","KPK","PML-N",29728,"ANP",20953,8775,0.418794444709588,41.8794444709588,"<50%"
41,"Tribal Area","FATA","PML-N",8022,"Independent",7641,381,0.049862583431488,4.9862583431488,"<25%"
44,"Tribal Area","FATA","PML-N",15114,"JI",11972,3142,0.262445706648847,26.2445706648847,"<50%"
49,"Islamabad","Federal Capital","PML-N",95701,"PTI",57160,38541,0.67426522043387,67.426522043387,"<75%"
50,"Rawalpindi 2013 ","Punjab","PML-N",133906,"PTI",46810,87096,1.86062807092502,186.062807092502,">100%"
51,"Rawalpindi","Punjab","PML-N",121067,"PPP-P",67146,53921,0.80304113424478,80.304113424478,"<100%"
52,"Rawalpindi","Punjab","PML-N",132905,"PTI",69539,63366,0.911229669681761,91.1229669681761,"<100%"
54,"Rawalpindi","Punjab","PML-N",76255,"PTI",68473,7782,0.113650636017116,11.3650636017116,"<25%"
57,"Attock","Punjab","PML-N",59638,"PTI",55515,4123,0.0742682157975322,7.42682157975322,"<25%"
58,"Attock","Punjab","PML-N",84722,"PTI",73935,10787,0.145898424291607,14.5898424291607,"<25%"
60,"Chakwal","Punjab","PML-N",129159,"Independent",100100,29059,0.2902997002997,29.02997002997,"<50%"
61,"Chakwal ","Punjab","PML-N",113303,"PML-Q",98414,14889,0.15128945068791,15.128945068791,"<25%"
62,"Jhelum","Punjab","PML-N",102022,"PTI",62572,39450,0.630473694304162,63.0473694304162,"<75%"
63,"Jhelum","Punjab","PML-N",116013,"PTI",42805,73208,1.71026749211541,171.026749211541,">100%"
64,"Sarghoda","Punjab","PML-N",156709,"PPP-P",66635,90074,1.35175208223906,135.175208223906,">100%"
65,"Sarghoda","Punjab","PML-N",102517,"PML-Q",60345,42172,0.698848289004889,69.8848289004889,"<75%"
66,"Sarghoda","Punjab","PML-N",132668,"PTI",36138,96530,2.67114948253916,267.114948253916,">100%"
67,"Sarghoda","Punjab","PML-N",108920,"PML-Q",97084,11836,0.121915042643484,12.1915042643484,"<25%"
68,"Sarghoda","Punjab","PML-N",140546,"PTI",45463,95083,2.09143699271935,209.143699271935,">100%"
69,"Khushab","Punjab","PML-N",118108,"PTI",79885,38223,0.478475308255617,47.8475308255617,"<50%"
70,"Khushab","Punjab","PML-N",93788,"Independent",64404,29384,0.456244953729582,45.6244953729582,"<50%"
73,"Bhakkar","Punjab","PML-N",97676,"Independent",91066,6610,0.0725847187753937,7.25847187753937,"<25%"
75,"Faisalabad","Punjab","PML-N",129933,"PTI",49021,80912,1.65055792415495,165.055792415495,">100%"
76,"Faisalabad","Punjab","PML-N",101459,"PPP-P",34752,66707,1.91951542357274,191.951542357274,">100%"
77,"Faisalabad","Punjab","PML-N",97957,"PML-Q",58590,39367,0.671906468680662,67.1906468680662,"<75%"
78,"Faisalabad","Punjab","PML-N",87959,"Independent",45804,42155,0.920334468605362,92.0334468605362,"<100%"
79,"Faisalabad","Punjab","PML-N",116334,"Independent",22007,94327,4.28622710955605,428.622710955605,">100%"
80,"Faisalabad","Punjab","PML-N",85964,"PML-Q",54402,31562,0.580162494025955,58.0162494025955,"<75%"
81,"Faisalabad","Punjab","PML-N",122041,"PPP-P",40163,81878,2.03864253168339,203.864253168339,">100%"
82,"Faisalabad","Punjab","PML-N",126349,"PTI",36373,89976,2.47370302147197,247.370302147197,">100%"
83,"Faisalabad Bye","Punjab","PML-N",47107,"PTI",36966,10141,0.27433317102202,27.433317102202,"<50%"
84,"Faisalabad","Punjab","PML-N",103176,"PTI",42336,60840,1.43707482993197,143.707482993197,">100%"
85,"Faisalabad","Punjab","PML-N",124591,"PTI",55215,69376,1.25647016209363,125.647016209363,">100%"
86,"Chiniot","Punjab","PML-N",77512,"PPP-P",46258,31254,0.675645293787021,67.5645293787021,"<75%"
87,"Chiniot","Punjab","PML-N",93651,"Independent",80541,13110,0.16277423920736,16.277423920736,"<25%"
88,"Jhang","Punjab","PML-N",87002,"Independent",68850,18152,0.263645606390704,26.3645606390704,"<50%"
89,"Jhang","Punjab","PML-N",74324,"MDM",71598,2726,0.0380736892091958,3.80736892091958,"<25%"
92,"T.T Singh ","Punjab","PML-N",90915,"Independent",60933,29982,0.492048643592142,49.2048643592142,"<50%"
93,"TT Singh ","Punjab","PML-N",117281,"PTI",95372,21909,0.229721511554754,22.9721511554754,"<25%"
94,"TT Singh","Punjab","PML-N",102723,"PPP-P",64168,38555,0.600844657773345,60.0844657773345,"<75%"
95,"Gujranwala","Punjab","PML-N",108419,"PTI",27799,80620,2.90010432029929,290.010432029929,">100%"
96,"Gujranwala","Punjab","PML-N",105104,"PTI",29942,75162,2.5102531561018,251.02531561018,">100%"
