"Name","Party","Votes","Seat","City","Year"
"Shabir Ahmad","MMA","37179",1,"&#13;
      Complete Result of NA1 Peshawar",2002
"Usman Bashir Bilour","ANP","23002",1,"&#13;
      Complete Result of NA1 Peshawar",2002
"Sajid Abdullah","PTI","2029",1,"&#13;
      Complete Result of NA1 Peshawar",2002
"Muhammad Khurshid Khanh Advocate","Independent","1537",1,"&#13;
      Complete Result of NA1 Peshawar",2002
"Muhammad Muazzam Butt","PML-Q","1417",1,"&#13;
      Complete Result of NA1 Peshawar",2002
"Rabia Mufti Advocate","PWP","478",1,"&#13;
      Complete Result of NA1 Peshawar",2002
"Maulana Rehmat Ullah","MMA","37728",2,"&#13;
     ",2002
"Doctor Arbab Alamgir Khan","PPP","15771",2,"&#13;
     ",2002
"Khalid Ayub","PAT","1575",2,"&#13;
     ",2002
"Abdul Manan Akhunzadah Advocate","PPP-S","926",2,"&#13;
     ",2002
"Qari Fayazur Rehman Alvi","MMA","33567",3,"&#13;
      Complete Result of NA3 Peshawar",2002
"Kiramatullah Khan","PPP","14662",3,"&#13;
      Complete Result of NA3 Peshawar",2002
"Arbab Muhammad Ayub Jan",NA,"8838",3,"&#13;
      Complete Result of NA3 Peshawar",2002
"Iqbal Zafar Jhagra","PML-N","5956",3,"&#13;
      Complete Result of NA3 Peshawar",2002
"Hidayatullah Khan","PPP-S","3403",3,"&#13;
      Complete Result of NA3 Peshawar",2002
"Saleem Akbar Khan","PAT","748",3,"&#13;
      Complete Result of NA3 Peshawar",2002
"Akhtar Ali Khan Nahaqi","Independent","183",3,"&#13;
      Complete Result of NA3 Peshawar",2002
"Sabir Hussain Awan","MMA","28728",4,"&#13;
      Complete Result of NA4 Peshawar",2002
"Arbab Muhammad Zahir Khan","ANP","16660",4,"&#13;
      Complete Result of NA4 Peshawar",2002
"Arbab Shabeer Ahmad Advocate","PML-Q","6266",4,"&#13;
      Complete Result of NA4 Peshawar",2002
"Haji Abdur Raziq","PML-N","4887",4,"&#13;
      Complete Result of NA4 Peshawar",2002
"Haji Javed Iqbal Barki","PTI","4500",4,"&#13;
      Complete Result of NA4 Peshawar",2002
"Muhammad Intikhab Khan","PML-Z","2556",4,"&#13;
      Complete Result of NA4 Peshawar",2002
"Qazi Hussain Ahmad","MMA","40879",5,"&#13;
      Complete Result of NA5 Nowshera",2002
"Naseer Ullah Khan Babar","PPP","22189",5,"&#13;
      Complete Result of NA5 Nowshera",2002
"Mian Rashid Ali Shah","ANP","11944",5,"&#13;
      Complete Result of NA5 Nowshera",2002
"Maulana Hamid-ul-Haqh Haqani","MMA","33242",6,"&#13;
      Complete Result of NA6 Nowshera",2002
"Naseer Ullah Khan Babar","PPP","16655",6,"&#13;
      Complete Result of NA6 Nowshera",2002
"Haji Sher Zada Khan","ANP","9355",6,"&#13;
      Complete Result of NA6 Nowshera",2002
"Mian Muzaffar Shah","PPP-S","5810",6,"&#13;
      Complete Result of NA6 Nowshera",2002
"Afsar Shah",NA,"931",6,"&#13;
      Complete Result of NA6 Nowshera",2002
"Maulana Muhammad Goharh Shah","MMA","55917",7,"&#13;
      Complete Result of NA7 Charsadda",2002
"Asfandyar Wali Khan","ANP","31364",7,"&#13;
      Complete Result of NA7 Charsadda",2002
"Aftab Ahmad Khan Sherpao","PPP-S","42326",8,"&#13;
      Complete Result of NA8 Charsadda",2002
"Iftikhar Khan Matta","ANP","18346",8,"&#13;
      Complete Result of NA8 Charsadda",2002
"Haji Sharifullah Khan","Independent","1105",8,"&#13;
      Complete Result of NA8 Charsadda",2002
"Shamas Khan","PMKP","962",8,"&#13;
      Complete Result of NA8 Charsadda",2002
"Shujaul Mulk","MMA","54479",9,"&#13;
      Complete Result of NA9 Mardan",2002
"Abbas Sarfaraz Khan","Independent","15376",9,"&#13;
      Complete Result of NA9 Mardan",2002
"Murad Khan","PPP","5077",9,"&#13;
      Complete Result of NA9 Mardan",2002
"Sarfaraz Khan","Independent","1417",9,"&#13;
      Complete Result of NA9 Mardan",2002
"Yousaf Shah","PTI","1049",9,"&#13;
      Complete Result of NA9 Mardan",2002
"Iqbal Khan","Independent","270",9,"&#13;
      Complete Result of NA9 Mardan",2002
"Maulana Muhammad Qasim","MMA","69726",10,"&#13;
      Complete Result of NA10 Mardan",2002
"Rahim Dad Khan","PPP","14541",10,"&#13;
      Complete Result of NA10 Mardan",2002
"Sher Muhammad Khan","PML-Q","2858",10,"&#13;
      Complete Result of NA10 Mardan",2002
"Jehanzeb Salik","Independent","566",10,"&#13;
      Complete Result of NA10 Mardan",2002
"Maulana Attaur-Rehman","MMA","51918",11,"&#13;
      Complete Result of NA11 Mardan",2002
"Habib Ullah Khan","ANP","14462",11,"&#13;
      Complete Result of NA11 Mardan",2002
"Doctor Muhammad Afzal Khan","PTI","5923",11,"&#13;
      Complete Result of NA11 Mardan",2002
"Muhammad Usman","MMA","53825",12,"&#13;
      Complete Result of NA12 Swabi",2002
"Shehryar Khan","ANP","32038",12,"&#13;
      Complete Result of NA12 Swabi",2002
"Khalid Jehangir","PML-Z","967",12,"&#13;
      Complete Result of NA12 Swabi",2002
"Maulana Khalil Ahmed","MMA","50096",13,"&#13;
      Complete Result of NA13 Swabi",2002
"Muhammad Sadiq Khan","ANP","19471",13,"&#13;
      Complete Result of NA13 Swabi",2002
"Iftikhar Khan","PML-N","16749",13,"&#13;
      Complete Result of NA13 Swabi",2002
"Professor Munawar Khan",NA,"1853",13,"&#13;
      Complete Result of NA13 Swabi",2002
"Asad Qaisar","PTI","766",13,"&#13;
      Complete Result of NA13 Swabi",2002
"Mufti Ibrar Sultan","MMA","46130",14,"Kohat",2002
"Syed Iftikhar Hussain Gillani","PML-Q","14277",14,"Kohat",2002
"Sheharyar Afridi","Independent","12083",14,"Kohat",2002
"Fazal Rahim Khattak","ANP","11299",14,"Kohat",2002
"Saifullah Khan Khattakh Advocate","PPP","7205",14,"Kohat",2002
"Javed Ibrahim Paracha","PML-N","2712",14,"Kohat",2002
"Shah Baz Gul Shinwari",NA,"1520",14,"Kohat",2002
"Syed Mazher Ali Shah","PWP","599",14,"Kohat",2002
"Shah Abdul Aziz","MMA","31325",15,"Karak",2002
"Masood Sharif Khattak","PPP","17712",15,"Karak",2002
"Rehmat Salam","PML-N","13381",15,"Karak",2002
"Imran Ahmad Khan Niazi","PTI","9972",15,"Karak",2002
"Ajmal Khan","Independent","9443",15,"Karak",2002
"Muhammad Amin Khattak","ANP","9110",15,"Karak",2002
"Said Ullah Shah","PPP-S","3237",15,"Karak",2002
"Mir Zakim Khan","Independent","1113",15,"Karak",2002
"Badshah Jan","PKMAP","193",15,"Karak",2002
"Farzana Masood","Independent","83",15,"Karak",2002
"Muhammad Iqbal","Independent","75",15,"Karak",2002
"Akhunzada Muhammad Sadiq","MMA","25252",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Hassan Ahmed Khan","ANP","5234",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Shaharyar Khan Bangash","PML-Q","4189",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Colonel ® Muhammad Idressh Niazi","PPP-S","4035",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Zaman Noor Bangash","PTI","3137",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Kishwar Sultana","PAT","1503",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Doctor Muhammad Aslam Khan","Independent","758",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Hafiz Khursheed Ali Khan","Independent","447",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Javed Ibrahim Paracha","PML-N","421",16,"&#13;
      Complete Result of NA16 Hangu",2002
"Amanullah Khan Jadoon","PML-Q","44716",17,"Abbottabad",2002
"Doctor Muhammad Azhar Khanh Jadoon","Independent","30949",17,"Abbottabad",2002
"Al-Haj Habib-ur-Rehman Abbasi","MMA","21383",17,"Abbottabad",2002
"Ali Asghar Khan","QJP","4687",17,"Abbottabad",2002
"Sardar Ibrar Ahmad","PPP","3646",17,"Abbottabad",2002
"Asif Malik Advocate","HQM","3384",17,"Abbottabad",2002
"Syed Ejaz Hussain Shah","Independent","389",17,"Abbottabad",2002
"Sardar Muhammad Yaqoob","PML-Q","36826",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Murtaza Javed Abbasi","PML-N","32527",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Nawabzada Jehangir Saeedh Tanoli","Independent","19784",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
"Qari Syed Abdul Rahim Shah","MMA","13017",18,"&#13;
      Complete Result of NA18 Abbottabad",2002
