Candidate Name,Party,Votes,Seat,City,Year
Hamid ul Haq,PTI,79125,2,Peshawar,2013
Moulana Muhammad Saeed Jan,JUI-F,18787,2,Peshawar,2013
Arbab Najeeb Ullah Khan,ANP,12137,2,Peshawar,2013
Arbab Aalamgir Khan,PPP-:P,10666,2,Peshawar,2013
Doctor Muhammad Iqbal Khalil,JI,8020,2,Peshawar,2013
Abdul Bari,PML-N,5159,2,Peshawar,2013
Qazi Saif Ullah Khan,MDM,3477,2,Peshawar,2013
Malik Haider Khan,QWP,2242,2,Peshawar,2013
Intizar Ali Khan Khalil,Independent,577,2,Peshawar,2013
Ishaq Hussain,Independent,448,2,Peshawar,2013
Muhammad Atiq ur Rehman,Independent,419,2,Peshawar,2013
Saleem Khan,Independent,275,2,Peshawar,2013
Iqtidar Ahmad Afridi,Independent,263,2,Peshawar,2013
Khadim Hussain Khalil,Independent,162,2,Peshawar,2013
Muhammad Ibrahim Khalil,Independent,156,2,Peshawar,2013
Aasir Sheraz,Independent,61,2,Peshawar,2013
Safeer Ullah Khalil,Independent,57,2,Peshawar,2013
Gulzar Khan,PTI,55134,4,Peshawar,2013
Nasir Khan Mosazai,PML-N,20412,4,Peshawar,2013
Sabir Hussain Awan,JI,16493,4,Peshawar,2013
Arbab Muhammad Ayub Jan,ANP,15795,4,Peshawar,2013
Arbab Kamal Ahmad,JUI-F,12519,4,Peshawar,2013
Misbah ud Din,PPP-P,12031,4,Peshawar,2013
Aneela Shaheen,Independent,1852,4,Peshawar,2013
Gul Wazir Shaheen,MDM,1519,4,Peshawar,2013
Molana Miraj ud Din Sirkani,JUP-N,1165,4,Peshawar,2013
Mian Abdul Latif,QWP,757,4,Peshawar,2013
Syed Hizar Amin Shah,Independent,392,4,Peshawar,2013
Faiz Muhammad,MQM,261,4,Peshawar,2013
Shaukat Ali Momand,Independent,222,4,Peshawar,2013
Pervez Khattak,PTI,69873,5,Nowshera,2013
Muhammad Daud Khattak,ANP,21185,5,Nowshera,2013
Asif Luqman Qazi,JI,19789,5,Nowshera,2013
Mufti Muhammad Sajjad,JUI-F,14110,5,Nowshera,2013
Pir Zada Nabi Amin,PML-N,11603,5,Nowshera,2013
Engineer Muhammad Tariq Khattak,PPP-P,10144,5,Nowshera,2013
Shahzad Ali Khan,Independent,5526,5,Nowshera,2013
Aziz ud Din Kaka Khel,Independent,982,5,Nowshera,2013
Amjid Hussain,Independent,921,5,Nowshera,2013
Gul Zali Khan,TTP,862,5,Nowshera,2013
Iran Bacha,PPM,483,5,Nowshera,2013
Siraj Muhammad Khan,PTI,54266,6,Nowshera,2013
Syed Zulfiqar Ali Shah,PML-N,34537,6,Nowshera,2013
Masood Abbas Khattak,ANP,20316,6,Nowshera,2013
Molana Hamid ul Haq Haqqani,MDM,11110,6,Nowshera,2013
Major (R) Liaqat Ali Shah Gailani,PPP-P,5121,6,Nowshera,2013
Amin Akber,Independent,3983,6,Nowshera,2013
Mian Shahenshah,Independent,3207,6,Nowshera,2013
Saeed Ullah,Independent,1453,6,Nowshera,2013
Khan Adil Ghaffar Khan Khattak,Independent,920,6,Nowshera,2013
Javed Iqbal,TTP,525,6,Nowshera,2013
Irshad Ali,Independent,408,6,Nowshera,2013
Kamal Shah,PPP-SB,263,6,Nowshera,2013
Iqbal Hussain,Independent,203,6,Nowshera,2013
Aziz Ullah Jan,Independent,0,6,Nowshera,2013
Maulana Muhammad Gohar Shah,JUI-F,53610,7,Charsadda,2013
Fazal Muhammad Khan,PTI,40254,7,Charsadda,2013
Asfandyar Wali Khan,ANP,38264,7,Charsadda,2013
Muhammad Arshid Khan,JI,22664,7,Charsadda,2013
Khanim Ullah,PPP-P,6856,7,Charsadda,2013
Kaleem Akbar Durrani,PML-N,3527,7,Charsadda,2013
Noor Zeb,Independent,1884,7,Charsadda,2013
Ishtiaq Ahmad,MDM,1032,7,Charsadda,2013
Umar Shahzad,Independent,574,7,Charsadda,2013
Nadar Khan,APML,503,7,Charsadda,2013
Sikandar Hayat Khan Sherpao,QWP,-,7,Charsadda,2013
Aftab Ahmad Khan Sherpao,QWP,37044,8,Charsadda,2013
Musammir Shah,JUI-F,33836,8,Charsadda,2013
Jehanzeb Khan Dhakki,PTI,30089,8,Charsadda,2013
Muhammad Taimoor Khan,ANP,15953,8,Charsadda,2013
Abdul Mustaan,JI,11034,8,Charsadda,2013
Waseef Ullah Khan,PPP-P,3848,8,Charsadda,2013
Sajjad Anwar Khan,PML-N,2678,8,Charsadda,2013
Gul Yousaf,Independent,1011,8,Charsadda,2013
Jehangir Khan,PKMAP,929,8,Charsadda,2013
Arbab Hussain,Independent,895,8,Charsadda,2013
Abdul Ali,TTP,594,8,Charsadda,2013
Liaqat Ali,MQM,387,8,Charsadda,2013
Khurshid Ali Khan,PML-Q,360,8,Charsadda,2013
Umara Khan,Independent,299,8,Charsadda,2013
Syed Zakir Shah,APML,183,8,Charsadda,2013
Amir Haider Khan Hoti,ANP,44769,9,Mardan,2013
Nasir Khan Advocate,PTI,42068,9,Mardan,2013
Nawabzada Khawaja Muhammad Khan Hoti,PML-N,32090,9,Mardan,2013
Moulana Shuja Ul Mulk,JUI-F,14427,9,Mardan,2013
Shazia Aurangzeb Khan,PPP-P,7002,9,Mardan,2013
Atta ur Rahman,JI,4578,9,Mardan,2013
Hafiz Muhammad Irfan ud Din,TTP,1493,9,Mardan,2013
Didar Shah,Independent,1211,9,Mardan,2013
Qayum Khan,MQM,293,9,Mardan,2013
Inam Khan Saraf,PML-Q,290,9,Mardan,2013
Yousaf Shah Aaryani,Independent,87,9,Mardan,2013
Ma-us Sama Aryani Advcoate,APML,82,9,Mardan,2013
Ali Muhammad Khan,PTI,46531,10,Mardan,2013
Maulana Muhammad Qasim,JUI-F,39269,10,Mardan,2013
Muhammad Farooq Khan,ANP,19436,10,Mardan,2013
Sultan Muhammad,JI,19107,10,Mardan,2013
Nawabzada Abdul Qadir Khan,PPP-P,15345,10,Mardan,2013
Naseem Muhammad Khan,PML-N,11491,10,Mardan,2013
Muhammad Fayaz,JUP-N,3426,10,Mardan,2013
Abdul Ghaffar Khan Mohmand,QWP,1638,10,Mardan,2013
Qazi Aslam Khan,TTP,724,10,Mardan,2013
Mualana Noor Ul Haq,MQM,170,10,Mardan,2013
Zardali Khan,PML-Q,166,10,Mardan,2013
Yar badshah,APML,160,10,Mardan,2013
Mujahid Ali,PTI,35349,11,Mardan,2013
Imdad Ullah Yousafzai,JUI-F,25705,11,Mardan,2013
Khanzada Khan,PPP-P,23619,11,Mardan,2013
Gul Nawaz Khan,JI,15508,11,Mardan,2013
Sher Afghan Khan,PML-N,12650,11,Mardan,2013
Inayat Khan,ANP,11447,11,Mardan,2013
Muhammad Saleem Khan,TTP,1161,11,Mardan,2013
Syed Amin Shah Bacha,Independent,708,11,Mardan,2013
Ikram Ul haq Khan,PKMAP,653,11,Mardan,2013
Hiammat ali,TIUP,327,11,Mardan,2013
Bakhtiar ali,Independent,268,11,Mardan,2013
Abdul Nazeer,JPP,252,11,Mardan,2013
Wahid Ali Naqshband,JUP-N,220,11,Mardan,2013
Syed Naveed Ali Shah,APML,187,11,Mardan,2013
Nawab Ali,Independent,167,11,Mardan,2013
Omar Ayub Khan,PML-N,117589,19,Haripur,2013
Raja Amer Zaman,PTI,117045,19,Haripur,2013
Pir Syed Alamzeb Shah,JUI-F,19591,19,Haripur,2013
Sardar Muhammad Mushtaq Khan,PPP-P,16234,19,Haripur,2013
Ghulam Nabi,JI,5035,19,Haripur,2013
Major (Rtd) Jameel Ahsan Kiyani,TSH,3674,19,Haripur,2013
Irum Fatima,ANP,3633,19,Haripur,2013
Farooq Shah,Independent,3095,19,Haripur,2013
Faiza Bibi Rasheed,Independent,2486,19,Haripur,2013
Muhammad Riaz Baig,Independent,1300,19,Haripur,2013
Habibullah Khan,MQM,567,19,Haripur,2013
Makhdoom Javid Hashmi,PTI,73692,48,Islamabad,2013
Anjum Aqeel Khan,PML-N,52170,48,Islamabad,2013
Mian Aslam,JI,25010,48,Islamabad,2013
Faisal Sakhi Butt,PPP,9177,48,Islamabad,2013
J Salik,Independent,5038,48,Islamabad,2013
Javidullah Khattak,Independent,1997,48,Islamabad,2013
Muhammad Asghar Khan,MWMP,1123,48,Islamabad,2013
Muhammad Abdullah,PML,733,48,Islamabad,2013
Altaf Hussain Awan Pakistani,Independent,603,48,Islamabad,2013
Alamgir Khan,TI,424,48,Islamabad,2013
Maqbool Masseh Khokhar,Independent,377,48,Islamabad,2013
Main Nadir Sher,Independent,317,48,Islamabad,2013
Tasneem ul Haq Hasni,Independent,281,48,Islamabad,2013
Ayatullah,Independent,257,48,Islamabad,2013
Allama Zaheer Abbass Qadri,Independent,182,48,Islamabad,2013
Malik Aurungzaib Awan,MQM,172,48,Islamabad,2013
Ghulam Shabbir Babar,Independent,151,48,Islamabad,2013
Chaudhary Ghulam Rasool Mehar,Independent,135,48,Islamabad,2013
Syed Ahmad Ali Shah,Independent,128,48,Islamabad,2013
Malik Muhammad Yousif,PPP-Sb,117,48,Islamabad,2013
Gahi Khan,PBP,98,48,Islamabad,2013
Naila Joseph Deyal,CPP,75,48,Islamabad,2013
Muhammad Akbar,PMP,68,48,Islamabad,2013
Muzaffar Ali,Independent,57,48,Islamabad,2013
Sahibzada Ahmad Raza Kasuri,APML,47,48,Islamabad,2013
Syed Zia Gillani,Independent,45,48,Islamabad,2013
Muhamamd Anwar,Independent,43,48,Islamabad,2013
Shahzad Khan Orakzai,ANP,42,48,Islamabad,2013
Muhammad Shahid Abbas,Independent,42,48,Islamabad,2013
Tallat Mehmood Qadri,SIC,39,48,Islamabad,2013
Sardar Naseer Ahmad,PFP,32,48,Islamabad,2013
Salman Yousif Khan,Independent,32,48,Islamabad,2013
Firdous Khan,CPP,30,48,Islamabad,2013
Khawja Khalil Salar,Independent,29,48,Islamabad,2013
Raja Sheraz Ahmad Janjua,Independent,29,48,Islamabad,2013
Raja Fatehyab Khalid Zubair,Independent,29,48,Islamabad,2013
Riaz Haneef Rahi Advocate,Independent,29,48,Islamabad,2013
Muhammad Haroon,Independent,27,48,Islamabad,2013
Asif Nawaz,Independent,24,48,Islamabad,2013
Raza Muhammad,Independent,24,48,Islamabad,2013
Rana Ghulam Farid,Independent,23,48,Islamabad,2013
Muhamamd Babar Arshad Pirzada,Independent,17,48,Islamabad,2013
Muhammad Ismail Kalhor,Independent,15,48,Islamabad,2013
Muhammad Rafiq Awan,Independent,14,48,Islamabad,2013
Chaudhary Muhammad Ali,Independent,13,48,Islamabad,2013
Sardar Aurungzaib Iqbal,Independent,8,48,Islamabad,2013
Khan Tassaduq Hassan,Independent,7,48,Islamabad,2013
Doctor Muhammad Aziz Khan,PAI,7,48,Islamabad,2013
